shiftb	a	b	k
1798.99	0.45	317.41	7752.6
1797.65	115.55	288.13	7770.1
1796.32	203.8	378.95	8238.7
1794.98	234.9	437.99	8103.9
1793.64	75.3	378.07	8157.8
1792.3	131.9	459.5	7862.4
1790.96	197.1	478.03	7815.5
1789.62	64.4	375.19	7499.8
1788.28	10.2	323.41	7701.3
1786.95	160.05	448.34	7704.7
1785.61	256.35	432.02	7781
1784.27	161.65	394.57	7766
1782.93	203.25	414.33	7439.4
1781.58	146	358.86	7249.3
1780.24	215.5	338.84	7441.3
1778.9	60.6	369.79	7314.5
1777.56	250.1	351.64	6783.2
1776.22	179.7	355.86	7400.1
1774.88	234.9	365.04	7128
1773.54	64	453.72	7258.5
1772.2	92.5	461.02	7062.9
1770.85	171.95	382.03	6619.9
1769.51	197.95	393.69	7053.9
1768.17	173.05	454.37	6664.8
1766.82	178	406.44	7082.1
1765.48	199.6	485.71	6494.1
1764.14	195.1	502.92	7233
1762.79	210.65	407.88	7004.4
1761.45	307.25	475.94	6457.6
1760.11	341.85	660.53	6863.3
1758.76	203.6	570.47	6778.1
1757.42	264.2	593.23	6763.4
1756.07	334.85	550.92	6700.6
1754.73	409.75	657.93	6200.8
1753.38	457.3	761.8	6535.8
1752.04	418.8	721.96	6519.3
1750.69	493.65	768.82	6356.3
1749.34	524.6	795.23	6572.3
1748	455.1	925.62	6279.1
1746.65	528.65	993.46	6918.3
1745.3	688.3	919.58	6122.4
1743.96	778.4	1111.13	6328.8
1742.61	727.55	1120.14	6240.2
1741.26	723.8	1195.93	6610
1739.92	787.9	1117.12	6055.6
1738.57	931.85	1241.73	6315.9
1737.22	1056.6	1399.67	6581.6
1735.87	938.45	1349.91	6222.5
1734.52	952.5	1496.04	6173
1733.17	1119.75	1563.04	6409
1731.82	1087.5	1557.75	6505.9
1730.47	1214.55	1590.13	6008.1
1729.13	1342.75	1645.96	6392
1727.78	1222.8	1827.1	6385.2
1726.43	1336.85	1965.58	6095.1
1725.08	1536.6	1944.79	6525.3
1723.72	1554.3	2007.31	6087.4
1722.37	1584.35	2130.88	6369.4
1721.02	1853.6	2272.29	6568.1
1719.67	1771.95	2315.6	6259.7
1718.32	1936.9	2564.2	6567.4
1716.97	2134.55	2709.2	6494.1
1715.62	2137.3	2869.5	6450.4
1714.26	2352.7	3096.9	6791.4
1712.91	2645.65	3363.1	7126.6
1711.56	2750.6	3586.7	7164.1
1710.21	2967.05	4126.8	7083.4
1708.85	3568.95	4522	7487
1707.5	3836.8	4998.3	7507.8
1706.15	4341.05	5560	8295.1
1704.79	4931.95	6320.4	8347.4
1703.44	5422.8	7049.1	8870.3
1702.08	6023.8	7868	9192
1700.73	6612.75	8882.2	9784.7
1699.37	7578.65	9901	10585.9
1698.02	8367.7	10976	11499.2
1696.66	9031	12082	12192.8
1695.31	10060.45	13287.2	12386.3
1693.95	10802.55	14520.3	13435.4
1692.6	11759.5	15594.3	14111.6
1691.24	12393.5	16714.7	14537.1
1689.88	13248.4	17850.1	15237
1688.53	13947.65	18828.4	16227.6
1687.17	14854.25	20005.9	16326.4
1685.81	15445.55	20930.1	17318.6
1684.46	15940.2	21970	18142.6
1683.1	16813.4	22735.8	18631.4
1681.74	17352.5	23846.1	19652.1
1680.38	17974.2	24470.8	20011.6
1679.02	18564.4	25346.7	20455.7
1677.67	18894.95	26129.8	20886.5
1676.31	19332.75	26663.5	21604.4
1674.95	19796.05	27181.2	21939.4
1673.59	20235.35	27652	21948.8
1672.23	20588.75	28075.5	22668
1670.87	21106.15	28342	22688.4
1669.51	21206.75	28479.7	23133.3
1668.15	21273.05	28493.6	22741.9
1666.79	21698.85	28535.6	22923.9
1665.43	21906.45	28338.8	22545.5
1664.07	21700.15	28265.2	22220.5
1662.7	21993.5	27987.7	21899.5
1661.34	21965.9	27691.4	21387.5
1659.98	21830.6	27219.5	21220.8
1658.62	21704.6	26752.6	20510.9
1657.26	21554.7	26105.5	20039.7
1655.89	21079.55	25625.6	19796.5
1654.53	20652.85	24897.5	19232.1
1653.17	20346.15	24301.8	17965.4
1651.81	19653.15	23267.9	17663.8
1650.44	18967.2	22469.8	17038
1649.08	18215.5	21576	17147.4
1647.71	17572.15	20825.4	16281.8
1646.35	16824.65	19927.3	16046.7
1644.99	15969.75	19255.5	15337.1
1643.62	15398.1	18536.3	14448.5
1642.26	14837.5	17770.3	14704.8
1640.89	13948.75	17225.6	14060.1
1639.53	13616.85	16432.7	13743.3
1638.16	13070.4	15961	12965.4
1636.8	12546.6	15429.1	12747.8
1635.43	12167.05	14962.1	12259.5
1634.06	11598.5	14897.8	12587.5
1632.7	11246	14061.4	12443.2
1631.33	10982.75	13668.6	11549.3
1629.96	10630.6	13231.5	11824.2
1628.6	10652.7	12988.3	11385.8
1627.23	10591.35	12616.6	11870.9
1625.86	10526.4	12571	11463.9
1624.49	10783.05	12392	12073.1
1623.12	11008.6	12562.7	12218.1
1621.76	11804	12766.3	12428.5
