ramanshift	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16	t17	t18	t19	t20	t21	t22	t23	t24	t25	t26
1799.023682	7412.56738	7161.55029	5607.05859	6514.34912	8014.40381	8607.16699	9360.21875	9078.95898	7778.5083	6750.24512	6980.09229	7349.05713	8670.67773	7999.28223	7932.74756	5773.39502	6214.94336	8634.38574	6798.63379	5289.50635	4497.13916	5703.83594	8096.06006	9952.98242	8840.03906	8074.88965
1798.079349	7484.41162	7160.17871	5653.07715	6660.146	8085.54688	8791.90234	9266.69434	8973.87891	7610.28906	6837.2959	6875.76172	7473.71045	8485.45508	7888.87891	7862.04492	5934.38867	6451.14844	8654.56738	6601.44092	5258.6709	4572.27539	5797.9375	8023.8291	10145.55859	8921.02539	8084.97705
1797.135016	7637.05322	7068.56445	5734.26709	6725.65967	8044.86572	8793.37207	9239.78418	8769.89648	7601.69385	6875.12158	6929.80127	7447.53174	8722.85938	8015.82471	7983.35986	5947.11768	6404.0498	8590.29004	6628.71338	5324.13818	4474.49463	5775.72119	7912.13379	10006.6582	8934.08789	8169.24121
1796.190683	7510.65527	7179.99219	5668.58398	6699.47412	8163.89502	8828.28125	9254.46777	8862.15527	7749.99561	6773.6875	6868.5708	7349.12549	8773.65332	8112.47559	7912.76807	5882.21045	6475.95361	8814.11133	6605.42578	5317.34375	4489.77734	5939.46338	8123.6123	10201.38867	8825.47168	8099.78027
1795.24635	7553.62012	7214.06689	5657.38477	6747.47656	8107.58838	8809.78809	9242.30371	8997.55469	7697.64063	6954.67139	6937.16211	7489.39697	8584.63965	8089.4917	7929.7832	5938.92383	6590.48877	8780.43652	6614.32861	5344.94531	4548.73047	5886.75244	8132.85986	10191.16211	8865.91016	8179.62842
1794.302017	7641.65771	7167.83008	5677.82178	6726.02686	8064.43213	8757.92969	9497.35449	8851.11914	7784.05518	7016.72607	6940.11133	7393.69336	8688.97461	8081.30713	7975.14209	6001.17334	6575.04199	8726.61426	6636.44727	5379.15381	4567.24414	5886.82031	8158.68896	10193.00586	8950.43262	8125.36865
1793.357684	7637.97607	7249.28223	5767.12598	6758.51123	8167.57275	8772.86719	9496.29004	8923.53223	7832.24023	6878.62695	6985.92725	7539.24414	8828.78613	8160.62891	8043.06494	6037.50635	6507.37549	8793.69922	6766.3252	5381.25	4647.30957	5892.88428	8235.65918	10167.38672	8948.63574	8097.53027
1792.413352	7669.29541	7453.62354	5787.6123	6688.44629	8219.06445	8934.04297	9664.7373	9022.23145	7817.67822	6800.08984	7049.92676	7566.93457	8536.03809	8257.9668	8083.18213	6035.45752	6515.53027	8850.2959	6664.69727	5400.88721	4550.12451	5932.33643	8201.57813	10236.55762	8998.28613	8188.39209
1791.469019	7557.75488	7209.19971	5694.57178	6575.80371	8133.2998	9089.77148	9556.36621	9170.45508	7804.83887	6861.42578	6992.58105	7513.86133	8917.38965	8177.85889	8171.96533	6002.16504	6601.53809	8863.91602	6607.51953	5390.06689	4559.93262	5951.86914	8333.64453	10238.10352	9033.35547	8225.46777
1790.524686	7823.59424	7277.11426	5632.47607	6671.6875	8237.51563	8867.38184	9711.93359	9034.58203	7800.63916	6976.47217	6981.92969	7583.55127	8911.92285	8239.52344	8007.50488	6067.12207	6682.80811	8875.40918	6721.96777	5463.17578	4610.23975	5945.47754	8418.125	10158.05762	9106.69336	8135.15088
1789.580353	7787.5498	7292.34375	5605.76709	6835.34082	8156.90527	9009.07617	9618.21094	9172.63184	7835.03906	6988.65527	6964.91602	7563.88818	8817.20898	8268.60645	8045.07275	6096.42432	6607.89893	9013.99609	6672.50098	5449.32471	4572.25244	5955.56445	8246.24707	10135.70117	9150.66309	8167.39502
1788.63602	7777.09424	7337.13965	5753.14355	6788.69092	8224.54102	8916.3877	9601.79297	9120.31836	7868.22559	7059.37061	7128.54736	7366.07471	8920.21191	8337.8916	8131.31543	6093.66895	6612.80908	8870.86523	6782.50635	5406.97461	4603.71436	6005.43799	8184.37793	10125.9668	9137.68164	8259.70898
1787.691687	7675.23145	7327.07275	5759.23828	6855.41064	8268.73535	8844.75488	9642.4502	9066.78809	7999.09521	7042.58936	7155.60596	7582.24365	8896.81152	8383.41113	8092.77881	6134.97119	6605.46387	8828.44043	6791.37744	5352.08203	4621.21143	5967.6543	8176.97559	10143.34668	9115.56348	8282.7666
1786.747354	7820.62451	7314.20264	5741.23242	6822.88525	8103.66699	8911.81934	9755.64648	9027.46094	7909.06885	7130.16895	7170.38477	7530.90723	8796.13184	8331.48926	8059.44189	6034.88379	6679.10498	9052.65625	6742.43164	5404.82861	4603.74121	5978.09082	8407.9873	10234.37305	9116.97852	8378.78418
1785.803021	7852.33594	7350.52002	5860.96924	6881.8877	8213.28027	8928.94336	9800.41992	9201.67383	7823.79639	7075.91943	7144.16309	7566.90332	8892.83301	8366.79492	8080.7041	6067.88867	6585.51172	8948.33691	6759.50684	5502.96777	4614.93652	6078.89795	8329.36035	10397.3916	9086.86426	8409.84082
1784.858689	7756.76514	7364.44629	5796.19678	6705.15576	8296.42969	9193.03125	9903.57813	9109.93555	8077.78857	7225.03223	7170.31738	7468.2998	8918.12988	8368.03418	8124.97168	6120.82568	6802.5957	9085.9834	6962.01904	5473.23145	4736.37891	6168.86133	8421.46973	10468.12012	9350.90918	8282.24805
1783.914356	7857.95654	7353.27051	5816.69434	6846.55371	8288.71094	9059.96973	9857.5625	9080.03125	8184.47363	7143.37109	7092.50244	7688.65186	9000.55371	8534.41699	8209.52148	6073.06836	6860.78271	9129.43066	6933.85059	5591.42969	4621.15234	6130.69531	8447.01465	10584.99805	9234.78906	8222.55273
1782.970023	7746.40576	7351.73779	5820.56982	6835.21191	8349.5293	9100.40137	9938.81152	9151.25	8062.26172	7110.03369	7177.5166	7619.84717	9076.30469	8416.58398	8172.42236	6058.91602	6820.05176	9187.19141	6802.79688	5601.25537	4620.8252	5957.69238	8503.28711	10538.96289	9257.08887	8316.47266
1782.02569	7922.15332	7371.54395	5965.91992	6837.81006	8369.34277	9065.78027	9976.95898	9024.26953	8094.90332	7152.50928	7187.77783	7596.57617	8966.30859	8389.85156	8182.49072	6141.96045	6750.18945	9109.53809	6850.28174	5579.08789	4680.24219	6141.12939	8499.16504	10434.5752	9244.00391	8443.34668
1781.081357	7962.17627	7444.81982	5897.73633	6961.72705	8417.33887	9257.23535	10027.63184	9190.74121	8058.58594	7100.30811	7273.09619	7666.83838	8890.3877	8398.11426	8263.59473	6125.79492	6836.2002	9031.00684	6882.24902	5570.31592	4703.37012	6102.70068	8481.60059	10593.26563	9334.53027	8635.29199
1780.137024	8080.19141	7403.65234	5949.76367	6970.19482	8529.26465	9237.93652	10115.33691	9243.52832	8009.95361	7155.12842	7368.70654	7688.44922	9072.56152	8440.2793	8303.63281	6121.04297	6973.83252	9012.30176	6913.64844	5517.28662	4762.94971	6137.5166	8605.41309	10365.50879	9327.46777	8423.10645
1779.192691	7902.33838	7574.74854	5803.38721	7038.32373	8568.93555	9285.67188	10190.45996	9283.24805	8342.37695	7169.30908	7312.6875	7622.97852	9110.4082	8601.23828	8490.21484	6371.81641	6894.97461	9274.86719	7019.56299	5501.05273	4783.55615	6054.99316	8661.80957	10708.26563	9308.5498	8317.3291
1778.248358	8046.68213	7546.21191	5901.62354	7119.02734	8375.38184	9063.63184	10181.40723	9404.91699	8261.26074	7288.11865	7338.59082	7593.42871	9226.66016	8454.60254	8301.56934	6184.38867	7038.33105	9344.34473	6764.0542	5492.06348	4783.5249	6104.4624	8589.96094	10567.21973	9385.44824	8409.26855
1777.304026	8119.89258	7615.29785	5934.0415	7076.20166	8516.86035	9279.60547	10019.86914	9414.27344	8336.16016	7228.271	7244.79346	7675.09863	9173.80859	8507.70117	8352.65625	6306.2251	6812.97803	9380.87305	6984.90088	5562.20459	4835.63916	6209.87891	8700.91797	10567.49316	9490.12598	8475.03809
1776.359693	8075.31934	7558.40234	6009.92285	7084.09814	8560.99316	9364.93555	10161.72461	9386.20898	8299.05273	7240.53223	7217.71533	7760.72461	9163.74707	8504.58789	8409.24805	6228.83984	6833.87646	9215.80469	7064.63379	5594.76611	4791.29053	6264.09961	8662.88867	10615.28418	9443.75586	8600.06543
1775.41536	8060.18848	7546.4375	5971.46533	7198.58936	8499.90039	9376.98047	10099.20605	9495.81738	8314.92871	7149.09082	7302.89258	7920.20654	9347.97559	8686.05762	8461.36035	6238.70605	6825.66504	9279.37891	7027.55615	5764.04346	4825.75098	6197.76465	8766.87305	10555.37695	9373.45117	8555.74414
1774.471027	8051.61475	7559.82373	5946.44141	7139.36475	8553.64746	9401.56934	10205.23438	9343.08691	8253.82227	7177.71045	7424.94287	7909.40479	9267.07715	8826.41797	8422.37109	6293.54346	7010.38477	9299.72949	6967.71924	5734.00342	4859.8501	6285.71631	8676.30469	10702.94727	9478.27148	8530.58789
1773.526694	8160.34424	7736.92676	5953.98242	7143.25488	8645.73926	9415.31348	10324.7041	9533.39844	8229.32129	7294.64014	7575.06543	7794.3418	9182.99023	8801.86035	8519.90332	6254.22412	7031.53027	9336.99512	6985.6499	5663.82617	4819.61768	6323.62695	8597.32227	10784.18848	9512.77344	8460.35547
1772.582361	8131.98633	7786.17041	6075.63037	7206.9458	8706.91406	9411.39941	10425.19043	9401.45508	8387.74414	7352.73877	7557.37158	7934.05371	9099.45801	8768.3916	8472.15625	6257.66113	7095.04688	9483.91504	6973.22412	5555.12842	4746.59717	6465.63574	8668.17578	10738.55762	9523.00488	8658.07617
1771.638028	8041.16016	7671.00537	6005.11084	7293.78564	9065.51465	9442.57227	10094.04395	9670.77344	8386.99609	7424.68652	7356.83447	7872.06689	9341.44629	8752.16016	8475.25	6481.24072	7094.42676	9240.60156	7015.59277	5730.64844	5023.82178	6299.11328	8914.74902	10725.97754	9429.6084	8597.66309
1770.693696	8276.38965	7701.05371	6054.9248	7075.82715	8726.61426	9573.47363	10382.2168	9688.34766	8376.7168	7429.79834	7506.25049	7878.95508	9456.06152	8922.61328	8452.58594	6377.50244	7119.34326	9116.3457	6929.33887	5607.07373	4626.80518	6461.09033	8882.28516	10788.81738	9589.92188	8612.2998
1769.749363	8205.30859	7730.86768	6070.00684	7170.07568	8635.18652	9442.42871	10427.17578	9693.82715	8313.06445	7624.89697	7472.26416	7877.47803	9407.67773	8745.8877	8493.54785	6311.38721	7051.67432	9265.24805	7081.21191	5633.2168	4788.75391	6486.93311	8845.64648	10802.39453	9670.61621	8587.48242
1768.80503	8083.05127	7675.85693	6046.72168	7236.11621	8742.66504	9554.48926	10348.16113	9563.94434	8426.11719	7446.5293	7330.81689	7905.09912	9386.4707	8746.98535	8601.99902	6274.8042	7112.49756	9451.34961	7098.24365	5693.66406	4842.06836	6550.30908	8921.12695	10994.03027	9672.29199	8689.45898
1767.860697	8090.63184	7804.05469	6134.74609	7211.42871	8741.93945	9629.27246	10222.0625	9639.25781	8455.76953	7581.63477	7399.1665	7888.09277	9332.15918	8768.79004	8632.97949	6409.62598	7105.88135	9407.8584	7124.68408	5783.58594	5024.63086	6521.82764	8880.2041	11018.34277	9544.43848	8642.70215
1766.916364	8328.41016	7795.78711	6243.45654	7146.125	8754.67773	9610.10938	10392.77832	9689.9873	8474.99707	7661.95117	7552.36475	7928.53125	9345.16992	8761.6709	8774.08496	6386.50195	7214.82471	9337.2373	7180.33838	5651.62988	4883.7124	6419.19629	8985.19727	10968.57227	9504.79395	8547.29102
1765.972031	8527.11426	7801.12109	6218.35791	7131.96338	8870.63184	9570.75391	10400.98242	9711.14063	8550.9502	7532.61475	7620.78369	8048.89551	9510.44141	8927.91309	8878.92578	6346.92432	7174.19873	9466.71582	7191.72803	5737.50537	4999.59277	6447.80713	9038.85352	11071.30664	9676.00586	8749.3877
1765.027698	8409.67969	7851.35303	6229.50977	7255.41504	8861.64648	9777.38477	10271.74219	9886.11328	8676.46875	7636.94043	7753.91992	8050.40771	9661.41992	8948.41895	8823.06152	6524.729	7069.22119	9417.94238	7045.95215	5793.83154	4966.26172	6526.29395	8893.33398	11095.92676	9820.74805	8614.36133
1764.083365	8432.08008	7750.29199	6088.20166	7327.83936	8964.90137	9751.21875	10548.60254	9633.47949	8712.88379	7606.24805	7638.64502	8082.2334	9585.12305	8981.58594	8853.00488	6414.02539	7376.58691	9582.06543	7252.98193	5811.23877	4939.58105	6564.04785	9098.71387	10998.47363	9794.17969	8741.18945
1763.139033	8416.68652	7884.39893	6302.06738	7261.15771	9076.66895	9761.49219	10476.77539	9807.82715	8568.56738	7695.55664	7678.31152	8016.30176	9633.45996	9018.84766	8786.93457	6399.29492	7275.1377	9482.28809	7205.20898	5855.21729	4940.22412	6473.81055	8958.48438	11178.52051	9972.16699	8784.04883
1762.1947	8465.64941	7953.77002	6345.1333	7289.98828	9108.12695	9827.45605	10559.59766	9639.45605	8662.44727	7711.92285	7696.35156	8092.43457	9551.22949	9039.31543	8802.49512	6519.47021	7348.55566	9421.91504	7399.0752	5932.4585	4994.40381	6547.61963	9168.51172	11260.89648	10030.56543	8890.43164
1761.250367	8471.62207	7943.5415	6193.80859	7412.58936	9049.47559	9718.22461	10514.15527	9792.58594	8788.6123	7722.73096	7600.42969	8121.74561	9512.82422	9129.17188	8812.89746	6477.51807	7291.45752	9559.23438	7349.11328	5804.55762	5035.95361	6611.19531	9138.5332	11229.27051	9913.63574	8881.48242
1760.306034	8433.12207	7970.92139	6218.06787	7519.6875	9006.3916	9786.08301	10540.17871	9902.33984	8961.50977	7745.854	7668.41016	8121.89795	9478.72852	9222.75195	8791.58789	6521.2915	7425.27588	9634.00293	7420.98291	5845.44189	5106.18701	6667.68994	9164.02051	11286.63184	9961.52344	8877.22559
1759.361701	8377.38965	8016.86914	6438.01807	7326.0498	9027.96875	9787.23145	10359.37793	9908.01758	8967.18848	7737.37695	7743.19775	8194.65234	9613.64648	9236.27539	8977.88867	6471.88086	7400.40674	9492.90723	7465.76221	5964.78809	5113.03564	6789.24561	9222.66895	11218.08496	9982.25195	9124.41309
1758.417368	8346.92383	7946.15039	6240.13184	7439.93066	9049.30273	9637.36328	10528.01074	9894.56055	8946.1748	7693.67822	7817.98145	8186.56787	9768.92578	9337.42773	8914.86328	6592.86523	7442.08154	9623.2793	7534.84131	6037.06396	5149.60498	6707.0498	9183.88086	11216.25586	9951.32227	9044.1123
1757.473035	8520.63379	8247.95801	6472.57031	7393.58691	9202.59473	9888.22949	10429.76367	9937.07031	8914.99414	7786.70313	7931.84912	8201.37012	9716.4707	9265.73047	9037.20215	6345.83447	7565.92676	9666.12598	7455.45508	5953.69043	5065.05957	6665.12158	9209.6123	11253.82324	9893.39844	9052.49414
1756.528702	8515.60742	7926.66113	6366.28955	7493.63184	9272.76172	9964.62793	10482.56445	9926.77344	9055.95996	7678.52295	7712.18799	8281.35645	9729.1748	9402.66895	8863.125	6614.43945	7484.94336	9746.49609	7336.21631	5926.37988	5193.33203	6787.87842	9222.97656	11472.03516	10009.16992	9006.04785
1755.58437	8569.4707	8061.15381	6492.90674	7488.12256	9287.36719	9958.4209	10620.89844	9912.95605	9078.64551	7884.00391	7762.25146	8308.70605	9829.36816	9432.9043	8940.41406	6537.40381	7611.6582	9775.30957	7361.73975	5969.59277	5141.00342	6796.9541	9359.32031	11466.42578	10069.99902	9007.99707
1754.640037	8708.38965	8130.79639	6427.08984	7545.79785	9402.27539	10100.52539	10648.0752	10146.61719	9074.7666	7982.3501	7897.1875	8294.93457	9876.94141	9317.05957	8984.11914	6638.01709	7593.81543	9939.16797	7504.93604	5872.03125	5193.63232	6776.62354	9424.0166	11459.46289	9939.70215	9101.33691
1753.695704	8593.48633	8194.77246	6355.01855	7505.64209	9533.03711	10028.48438	10660.40918	10120.91504	9172.8584	7809.27783	7891.30469	8346.75488	9898.63965	9277.56738	9040.21191	6657.35156	7729.99561	9966.25195	7466.76709	5933.45508	5243.29639	6776.62109	9532.62695	11482.00684	10061.18555	9063.67871
1752.751371	8606.4248	8121.51172	6467.45068	7711.30615	9417.32715	9960.68555	10808.77832	10278.75781	9123.51855	7872.52051	7912.09277	8389.87891	9886.5918	9472.62305	9175.05078	6746.94385	7608.7832	9823.29492	7368.104	6103.32959	5305.68994	6720.05908	9382.03906	11596.30566	10368.24414	9030.72559
1751.807038	8812.36035	8172.41455	6406.31104	7651.61035	9473.80078	10128.91309	10822.91992	10299.05078	9119.16699	7927.06836	8060.55225	8484.76563	9858.49414	9383.7666	9082.83301	6676.2666	7487.72266	9736.46875	7439.45654	6098.89551	5186.15234	6939.74951	9411.3457	11467.14063	10247.09473	9023.03809
1750.862705	8647.96094	8250.1416	6570.2998	7681.31445	9520.87012	10215.24609	10844.71289	10379.11914	9307.89941	7913.34961	7934.1416	8309.5127	9968.23633	9289.21289	8966.23047	6699.22217	7681.18164	9877.8916	7560.46729	6109.61279	5319.01416	6729.31641	9449.1709	11576.18555	10224.96777	9156.25293
